"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (streaming)","release date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
,"81","$122.3M","Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II","James Wan","Warner Bros. Pictures","Action, Adventure, Fantasy","English","Peter Safran, James Wan, Rob Cowan","Atomic Monster, Peter Safran","PG-13 (Some Language|Sci-Fi Violence)","Jan 23 2024","Dec 22 2023, wide","2h 4m","Dolby Atmos Dolby Digital, DTS","After failing to defeat Aquaman the first time, Black Manta wields the power of the mythic Black Trident to unleash an ancient and malevolent force. Hoping to end his reign of terror, Aquaman forges an unlikely alliance with his brother, Orm, the former king of Atlantis. Setting aside their differences, they join forces to protect their kingdom and save the world from irreversible destruction.","Aquaman and the Lost Kingdom","34","https://www.rottentomatoes.com/m/aquaman_and_the_lost_kingdom","DC Universe","David Leslie Johnson-McGoldrick"
"Scope (2.35:1)","43","$6.6M","Ariana DeBose, John Gallagher Jr., Chris Messina","Gabriela Cowperthwaite","Bleecker Street","Sci-fi, Mystery & thriller, Action, Drama","English","Mickey Liddell, Pete Shilaimon","LD Entertainment","R (Some Violence and Language)","Feb 6 2024","Jan 19 2024, wide","1h 35m","Dolby Atmos","Tensions flare in the near future aboard the International Space Station as a worldwide conflict breaks out on Earth. Reeling from this, the astronauts receive orders from the ground: take control of the station by any means necessary.","I.S.S.","62","https://www.rottentomatoes.com/m/iss",,"Nick Shafir"
"Flat (1.85:1)","68","$578.0K","Rosalie Chiang, Sandra Oh, Ava Morse","Domee Shi","Disney/Pixar","Kids & family, Comedy, Fantasy, Animation","English","Lindsey Collins","Walt Disney Pictures, Pixar Animation Studios","PG (Suggestive Content|Language|Thematic Material)","Mar 11 2022","Feb 9 2024, wide","1h 40m","Dolby Atmos","In ""Turning Red"", Mei Lee is a confident, dorky thirteen-year-old torn between staying her mother's dutiful daughter and the chaos of adolescence. And as if changes to her interests, relationships, and body weren't enough, whenever she gets too excited (which for a teenager is practically ALWAYS), she ""poofs"" into a giant red panda!","Turning Red","95","https://www.rottentomatoes.com/m/turning_red","Pixar","Julia Cho, Domee Shi"
,"59","$503.8K","Ethan Hawke, Pedro Pascal, José Condessa","Pedro Almodóvar","Sony Pictures Classics","Western, Lgbtq+, Short","English","Agustín Almodóvar, Esther García","El Deseo","R (Language|Bloody Images|Some Sexual Content)","Feb 13 2024","Oct 4 2023, limited","31m","Dolby Digital","A man rides a horse across the desert that separates him from Bitter Creek. He comes to visit Sheriff Jake. Twenty-five years earlier, both the sheriff and Silva, the rancher who rides out to meet him, worked together as hired gunmen. Silva visits him with the excuse of reuniting with his friend from his youth, and they do indeed celebrate their meeting, but the next morning Sheriff Jake tells him that the reason for his trip is not to go down the memory lane of their old friendship.","Strange Way of Life","75","https://www.rottentomatoes.com/m/strange_way_of_life",,"Pedro Almodóvar, Pedro Almodóvar"
"Scope (2.35:1)","60","$36.2M","Dylan O'Brien, Michael Keaton, Sanaa Lathan","Michael Cuesta","CBS Films, Lionsgate Films","Action, Mystery & thriller","English","Lorenzo di Bonaventura, Nick Wechsler","Lorenzo di Bonaventura, Nick Wechsler","R (Language|Brief Nudity|Some Torture|Strong Violence Throughout)","Nov 21 2017","Sep 15 2017, wide","1h 51m","Dolby Atmos","When Cold War veteran Stan Hurley takes CIA black ops recruit Mitch Rapp under his wing, they receive an assignment to investigate a wave of random attacks on both military and civilian targets. After discovering a pattern of violence, Hurley and Rapp join forces with a lethal Turkish agent to stop a mysterious operative who wants to start a global war.","American Assassin","34","https://www.rottentomatoes.com/m/american_assassin_2017",,"Stephen Schiff, Michael Finch, Edward Zwick, Marshall Herskovitz"
,"95","$17.3M","Jeffrey Wright, Tracee Ellis Ross, John Ortiz","Cord Jefferson","MGM","Comedy, Drama","English","Ben LeClair, Nikos Karamigios, Cord Jefferson, Jermaine Johnson","Orion Pictures, T-Street, MRC, 3Arts","R (Some Drug Use|Brief Violence|Sexual References|Language Throughout)","Feb 6 2024","Jan 12 2024, wide","1h 57m","Dolby Digital","AMERICAN FICTION is Cord Jefferson's hilarious directorial debut, which confronts our culture's obsession with reducing people to outrageous stereotypes. Jeffrey Wright stars as Monk, a frustrated novelist who's fed up with the establishment profiting from ""Black"" entertainment that relies on tired and offensive tropes. To prove his point, Monk uses a pen name to write an outlandish ""Black"" book of his own, a book that propels him to the heart of hypocrisy and the madness he claims to disdain.","American Fiction","94","https://www.rottentomatoes.com/m/american_fiction",,"Cord Jefferson"
,"83",,"Sam Hobkinson","Sam Hobkinson","Netflix","Crime, Documentary","English",,,,"Feb 9 2024",,"1h 30m",,"In this twisting documentary, a mechanic tries online dating for the first time and meets a woman who takes romantic obsession to a deadly extreme.","Lover, Stalker, Killer","100","https://www.rottentomatoes.com/m/lover_stalker_killer",,
,"85",,"Jennifer Lopez, Fat Joe, Trevor Noah","Dave Meyers","Amazon MGM Studios","Musical","English","Nathan Scherrer","Nuyorican Productions, Amazon MGM Studios","PG-13 (Domestic Violence|Strong Language|Sexual Material)","Feb 16 2024",,"1h 5m",,"This Is Me... Now: A Love Story is like nothing you've ever seen from Jennifer Lopez. Alongside director Dave Meyers, Jennifer has created a narrative-driven cinematic odyssey, steeped in mythological storytelling and personal healing. Dropping in tandem with her first studio album in a decade, this genre-bending Amazon original showcases her journey to love through her own eyes. With fantastical costumes, breathtaking choreography, and star-studded cameos, this panorama is an introspective retrospective of Jennifer's resilient heart.","This Is Me... Now: A Love Story","76","https://www.rottentomatoes.com/m/this_is_me_now_a_love_story",,"Jennifer Lopez, Matt Walton"
"Flat (1.85:1)","89","$4.6M","Sandra Hüller, Swann Arlaud, Milo Machado Graner","Justine Triet","NEON","Mystery & thriller, Crime, Drama","French","Marie-Ange Luciani, Philippe Martin, David Thion","Auvergne Rhône-Alpes Cinéma, France 2 Cinéma, Les Films de Pierre, Les Films Pelléas","R (Some Language|Sexual References|Violent Images)","Dec 22 2023","Oct 13 2023, limited","2h 30m","Dolby Digital","For the past year, Sandra, her husband Samuel, and their eleven-year-old son Daniel have lived a secluded life in a remote town in the French Alps. When Samuel is found dead in the snow below their chalet, the police question whether he was murdered or committed suicide. Samuel's suspicious death is presumed murder, and Sandra becomes the main suspect. What follows is not just an investigation into the circumstances of Samuel's death but an unsettling psychological journey into the depths of Sandra and Samuel's conflicted relationship.","Anatomy of a Fall","96","https://www.rottentomatoes.com/m/anatomy_of_a_fall",,"Justine Triet, Arthur Harari"
,"82","$84.5M","Brie Larson, Teyonah Parris, Iman Vellani","Nia DaCosta","Walt Disney Pictures","Action, Adventure, Fantasy","English","Kevin Feige","Marvel Studios, Disney+","PG-13 (Brief Language|Action/Violence)","Jan 16 2024","Nov 10 2023, wide","1h 45m","Dolby Atmos Dolby Digital","Carol Danvers aka Captain Marvel has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan, Kamala Khan aka Ms. Marvel, and Carol's estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team-up and learn to work in concert to save the universe as ""The Marvels.""","The Marvels","62","https://www.rottentomatoes.com/m/the_marvels","Marvel Cinematic Universe","Nia DaCosta, Megan McDonnell, Elissa Karasik"
